"GEOID","urbanPercent","URBAN_POP","TRACT_POP"
"060290033",0.000154049973811504,5,32457
"060290034",0.461301369863014,4041,8760
"060290035",0.490502542626383,6559,13372
"060290036",0.485064792444542,4417,9106
"060290038",0.576271812254001,78037,135417
"060290039",0.150279128399064,1669,11106
"060290040",0.463047390521896,7719,16670
"060290041",1,10961,10961
"060290043",0.504214404683793,9990,19813
"060290044",1,12245,12245
"060290046",0.318744731893925,9832,30846
"060290047",0.493374712323035,14149,28678
"060290048",1,10200,10200
"060290049",1,13245,13245
"060290050",0.99847533632287,11133,11150
"060290051",0.113741435971704,2042,17953
"060290052",0.0914712575442762,3698,40428
"060290053",0.931558935361217,1960,2104
"060290054",0.56941848961196,25900,45485
"060290055",0.0982635651100078,3899,39679
"060290058",0.943936929045176,15086,15982
"060290060",0.149880935705281,8560,57112
"060290061",0.486038491489598,8738,17978
"060290062",0.318651540899279,6938,21773
"060290063",0.774789149760656,13596,17548
"060290064",0.790131926121372,14973,18950
"060290066",0.0470916994411095,455,9662
"060310001",0.00222908093278464,13,5832
"060310004",0.562049122221759,26957,47962
"060310005",0.418251974156497,4661,11144
"060310006",0.497550337575432,16655,33474
"060310007",0.494014049668547,9986,20214
"060310008",0.488898111641419,4712,9638
"060310009",1,7602,7602
"060310010",0.565553381314053,17052,30151
"060310011",0.482035928143713,5957,12358
"060310012",0,0,4794
"060310013",0.441653345512674,3868,8758
"060310014",1,5006,5006
"060310015",0.494623655913978,4692,9486
"060310016",0,0,8566
"060310017",0.644184052586453,9016,13996
"060319800",0.493389423076923,6568,13312
"060319801",1,8811,8811
"060319818",1,4288,4288
"060330001",0.00903369874137231,89,9852
"060330003",0.210795220436753,2558,12135
"060330004",0.498132427843803,5868,11780
"060330005",0.43398765236663,5483,12634
"060330006",0.481532779316713,3129,6498
"060330007",0.527205525933107,8701,16504
"060330008",0.99737773698702,7607,7627
"060330009",0.311168091168091,5461,17550
"060330010",0.0296077788703157,542,18306
"060330012",0.0901191173598906,923,10242
"060350403",0.332655325443787,8995,27040
"060371011",1,8654,8654
"060371012",1,9596,9596
"060371013",1,4269,4269
"060371014",0.98306824012314,3832,3898
"060371021",0.655023789532606,11702,17865
"060371031",0.994372990353698,7422,7464
"060371032",0.602659475543984,6481,10754
"060371033",1,3953,3953
"060371034",1,6591,6591
"060371041",0.818555852705205,19895,24305
"060371042",0.791664039346743,12555,15859
"060371043",1,9638,9638
"060371044",1,9051,9051
"060371045",1,3151,3151
"060371046",1,6845,6845
"060371047",1,11933,11933
"060371048",1,11074,11074
"060371060",1,8947,8947
"060371061",1,21114,21114
"060371064",1,20194,20194
"060371065",0.997993194311142,11438,11461
"060371066",0.810246056782334,32106,39625
"060371070",1,8693,8693
"060371081",0.743511759935118,11001,14796
"060371082",0.563965496294496,13926,24693
"060371091",1,2958,2958
"060371092",1,3153,3153
"060371093",1,3120,3120
"060371094",1,3752,3752
"060371095",1,4524,4524
"060371096",1,12099,12099
"060371097",1,4389,4389
"060371098",1,4679,4679
"060371111",1,3047,3047
"060371112",0.541504703636405,23543,43477
"060371113",1,12421,12421
"060371114",0.762838836865451,7739,10145
"060371131",1,6432,6432
"060371132",0.672900834105653,36303,53950
"060371133",1,18065,18065
"060371134",1,19172,19172
"060371151",1,11866,11866
"060371152",0.701764469222369,12210,17399
"060371153",1,8280,8280
"060371154",1,12181,12181
"060371171",1,7928,7928
"060371172",1,7225,7225
"060371173",1,12978,12978
"060371174",1,14237,14237
"060371175",1,14030,14030
"060371190",1,10747,10747
"060371192",1,8260,8260
"060371193",1,18319,18319
"060371194",1,4881,4881
"060371197",0.5,4893,9786
"060371198",1,5949,5949
"060371199",1,4774,4774
"060371200",1,9520,9520
"060371201",1,21705,21705
"060371203",1,5550,5550
"060371204",1,6614,6614
"060371210",1,8474,8474
"060371211",0.670143718127028,5782,8628
"060371212",1,10705,10705
"060371216",1,2996,2996
"060371218",1,7046,7046
"060371219",1,3921,3921
"060371220",1,5289,5289
"060371221",1,9938,9938
"060371222",0.5,4064,8128
"060371224",1,8447,8447
"060371230",1,7430,7430
"060371231",1,8594,8594
"060371232",1,11993,11993
"060371233",0.612615823235923,12033,19642
"060371234",1,8448,8448
"060371235",1,7607,7607
"060371236",0.628068342908304,8418,13403
"060371237",1,4142,4142
"060371238",1,5757,5757
"060371239",0.735452970549271,7217,9813
"060371240",1,4786,4786
"060371241",1,10428,10428
"060371242",1,8594,8594
"060371243",1,3830,3830
"060371244",0.5,4308,8616
"060371245",0.5,2880,5760
"060371246",1,3223,3223
"060371247",1,5343,5343
"060371249",1,6523,6523
"060371251",0.611349873022075,6259,10238
"060371252",0.333333333333333,4014,12042
"060371253",0.821296445230819,10212,12434
"060371254",0.749820330591711,9390,12523
"060371255",0.656307129798903,6821,10393
"060371256",0.5,2599,5198
"060371271",1,12793,12793
"060371272",1,10446,10446
"060371273",1,3735,3735
"060371274",1,5529,5529
"060371275",1,4226,4226
"060371276",1,12710,12710
"060371277",1,7328,7328
"060371278",1,16517,16517
"060371279",1,9421,9421
"060371281",1,8509,8509
"060371282",1,7896,7896
"060371283",1,8530,8530
